Source,Target,Weight
郝红梅,孙少平,55
郝红梅,田润生,14
郝红梅,金光明,3
郝红梅,田晓霞,1
郝红梅,田福堂,2
郝红梅,孙少安,3
郝红梅,田润叶,1
郝红梅,贺秀莲,1
孙少平,田福堂,9
孙少平,郝红梅,55
孙少平,田润生,18
孙少平,田晓霞,42
孙少平,孙玉亭,1
孙少平,孙少安,8
孙少平,孙玉厚,1
孙少平,田福军,13
孙少平,吴仲平,1
孙少平,田润叶,1
孙少平,贺秀莲,1
孙少平,金光明,1
田福堂,孙少平,9
田福堂,孙玉亭,140
田福堂,金俊山,113
田福堂,孙少安,67
田福堂,孙玉厚,40
田福堂,田福军,19
田福堂,金俊文,23
田福堂,田润生,15
田福堂,贺耀宗,1
田福堂,田万有,1
田福堂,金光明,8
田福堂,贺凤英,9
田福堂,刘志英,1
田福堂,金光辉,9
田福堂,田晓霞,1
田福堂,郝红梅,2
田晓霞,孙少平,42
田晓霞,刘志英,1
田晓霞,田福军,3
田晓霞,田福堂,1
田晓霞,郝红梅,1
田晓霞,孙少安,1
田晓霞,吴仲平,8
孙玉厚,孙少安,35
孙玉厚,田福堂,40
孙玉厚,孙玉亭,20
孙玉厚,贺凤英,9
孙玉厚,金俊文,8
孙玉厚,金俊山,23
孙玉厚,孙少平,1
孙玉厚,吴仲平,1
孙玉厚,李玉玲,1
孙玉厚,孙卫红,1
孙玉厚,张桂兰,1
孙玉厚,贺耀宗,1
孙少安,孙玉厚,35
孙少安,田福堂,67
孙少安,孙玉亭,23
孙少安,田润叶,9
孙少安,金俊山,12
孙少安,贺凤英,11
孙少安,田万有,1
孙少安,贺秀莲,19
孙少安,贺耀宗,9
孙少安,田福军,10
孙少安,孙少平,8
孙少安,田万江,2
孙少安,金俊文,1
孙少安,田晓霞,1
孙少安,孙卫红,2
孙少安,郝红梅,3
孙少安,金光辉,1
孙玉亭,田福堂,140
孙玉亭,贺凤英,25
孙玉亭,金俊山,59
孙玉亭,孙少安,23
孙玉亭,孙玉厚,20
孙玉亭,田万有,1
孙玉亭,金俊文,14
孙玉亭,孙少平,1
孙玉亭,金光明,14
孙玉亭,金光辉,3
孙玉亭,田福军,2
孙玉亭,孙卫红,1
孙玉亭,田润生,1
贺凤英,孙玉亭,25
贺凤英,孙玉厚,9
贺凤英,金俊文,1
贺凤英,孙少安,11
贺凤英,田福堂,9
贺凤英,金俊山,2
贺凤英,金光辉,1
贺凤英,贺秀莲,1
金俊山,田福堂,113
金俊山,孙玉亭,59
金俊山,孙少安,12
金俊山,金俊文,12
金俊山,田万有,1
金俊山,金光明,1
金俊山,孙玉厚,23
金俊山,贺凤英,2
金俊山,李玉玲,1
金俊山,金光辉,1
田福军,田福堂,19
田福军,刘志英,9
田福军,田晓霞,3
田福军,孙少安,10
田福军,孙玉亭,2
田福军,孙少平,13
田万江,田万有,8
田万江,孙少安,2
金俊文,田福堂,23
金俊文,孙玉亭,14
金俊文,孙玉厚,8
金俊文,金俊山,12
金俊文,贺凤英,1
金俊文,田万有,1
金俊文,张桂兰,14
金俊文,金光明,1
金俊文,孙少安,1
金俊文,金光辉,1
金俊文,李玉玲,2
田润叶,孙少安,9
田润叶,刘志英,2
田润叶,孙少平,1
田润叶,郝红梅,1
田润叶,贺秀莲,1
田润生,孙少平,18
田润生,郝红梅,14
田润生,田福堂,15
田润生,金光辉,1
田润生,孙玉亭,1
刘志英,田福军,9
刘志英,田润叶,2
刘志英,田晓霞,1
刘志英,田福堂,1
田万有,田万江,8
田万有,孙玉亭,1
田万有,孙少安,1
田万有,田福堂,1
田万有,金俊山,1
田万有,金光明,1
田万有,金俊文,1
田万有,张桂兰,1
贺秀莲,孙少安,19
贺秀莲,贺耀宗,8
贺秀莲,孙少平,1
贺秀莲,田润叶,1
贺秀莲,郝红梅,1
贺秀莲,贺凤英,1
贺耀宗,孙少安,9
贺耀宗,贺秀莲,8
贺耀宗,田福堂,1
贺耀宗,李玉玲,1
贺耀宗,孙卫红,1
贺耀宗,张桂兰,1
贺耀宗,孙玉厚,1
金光明,田福堂,8
金光明,田万有,1
金光明,金俊山,1
金光明,孙玉亭,14
金光明,郝红梅,3
金光明,金光辉,2
金光明,金俊文,1
金光明,孙少平,1
张桂兰,田万有,1
张桂兰,金俊文,14
张桂兰,李玉玲,2
张桂兰,孙卫红,1
张桂兰,孙玉厚,1
张桂兰,贺耀宗,1
金光辉,田福堂,9
金光辉,孙玉亭,3
金光辉,金光明,2
金光辉,金俊文,1
金光辉,孙少安,1
金光辉,金俊山,1
金光辉,贺凤英,1
金光辉,田润生,1
吴仲平,孙少平,1
吴仲平,田晓霞,8
吴仲平,孙玉厚,1
李玉玲,金俊文,2
李玉玲,金俊山,1
李玉玲,张桂兰,2
李玉玲,孙卫红,1
李玉玲,孙玉厚,1
李玉玲,贺耀宗,1
孙卫红,孙玉亭,1
孙卫红,孙少安,2
孙卫红,李玉玲,1
孙卫红,张桂兰,1
孙卫红,孙玉厚,1
孙卫红,贺耀宗,1
